field_id,lucode,crop_name,fs25_fruit,category,area_ha,priority
field_0355,AC17,Spring Barley,barley,arable,0.416,1
field_0356,AC17,Spring Barley,barley,arable,0.416,1
field_0357,AC01,Winter Wheat,wheat,arable,0.416,1
field_0358,AC19,Spring Oats,oat,arable,0.416,1
field_0359,AC17,Spring Barley,barley,arable,0.416,1
field_0360,AC17,Spring Barley,barley,arable,0.416,1
field_0361,AC01,Winter Wheat,wheat,arable,0.416,1
field_0362,AC17,Spring Barley,barley,arable,0.416,1
field_0363,AC17,Spring Barley,barley,arable,0.416,1
field_0364,AC17,Spring Barley,barley,arable,0.416,1
field_0365,AC17,Spring Barley,barley,arable,0.416,1
field_0366,AC17,Spring Barley,barley,arable,0.416,1
field_0367,AC17,Spring Barley,barley,arable,0.416,1
field_0368,AC01,Winter Wheat,wheat,arable,0.416,1
field_0369,AC19,Spring Oats,oat,arable,0.416,1
field_0370,AC19,Spring Oats,oat,arable,0.416,1
field_0371,AC17,Spring Barley,barley,arable,0.416,1
field_0372,AC19,Spring Oats,oat,arable,0.416,1
field_0373,AC19,Spring Oats,oat,arable,0.416,1
field_0374,AC01,Winter Wheat,wheat,arable,0.416,1
field_0375,AC17,Spring Barley,barley,arable,0.416,1
field_0376,AC01,Winter Wheat,wheat,arable,0.416,1
field_0377,AC01,Winter Wheat,wheat,arable,0.416,1
field_0378,AC17,Spring Barley,barley,arable,0.416,1
field_0379,AC17,Spring Barley,barley,arable,0.416,1
field_0380,AC01,Winter Wheat,wheat,arable,0.416,1
field_0381,AC01,Winter Wheat,wheat,arable,0.416,1
field_0382,AC17,Spring Barley,barley,arable,0.416,1
field_0383,AC17,Spring Barley,barley,arable,0.416,1
field_0384,AC01,Winter Wheat,wheat,arable,0.416,1
field_0385,AC17,Spring Barley,barley,arable,0.416,1
field_0386,AC01,Winter Wheat,wheat,arable,0.416,1
field_0387,AC01,Winter Wheat,wheat,arable,0.416,1
field_0388,AC01,Winter Wheat,wheat,arable,0.416,1
field_0389,AC19,Spring Oats,oat,arable,0.416,1
field_0390,AC17,Spring Barley,barley,arable,0.416,1
field_0391,AC17,Spring Barley,barley,arable,0.416,1
field_0392,AC17,Spring Barley,barley,arable,0.416,1
field_0393,AC17,Spring Barley,barley,arable,0.416,1
field_0394,AC17,Spring Barley,barley,arable,0.416,1
field_0395,AC01,Winter Wheat,wheat,arable,0.416,1
field_0396,AC01,Winter Wheat,wheat,arable,0.416,1
field_0397,AC17,Spring Barley,barley,arable,0.416,1
field_0398,AC01,Winter Wheat,wheat,arable,0.416,1
field_0399,AC01,Winter Wheat,wheat,arable,0.416,1
field_0400,AC01,Winter Wheat,wheat,arable,0.416,1
field_0401,AC01,Winter Wheat,wheat,arable,0.416,1
field_0402,AC01,Winter Wheat,wheat,arable,0.416,1
field_0403,AC19,Spring Oats,oat,arable,0.416,1
field_0404,AC17,Spring Barley,barley,arable,0.416,1
field_0405,AC01,Winter Wheat,wheat,arable,0.416,1
field_0406,AC17,Spring Barley,barley,arable,0.416,1
field_0407,AC19,Spring Oats,oat,arable,0.416,1
field_0408,AC17,Spring Barley,barley,arable,0.416,1
field_0409,AC17,Spring Barley,barley,arable,0.416,1
field_0410,AC01,Winter Wheat,wheat,arable,0.416,1
field_0411,AC17,Spring Barley,barley,arable,0.416,1
field_0412,AC01,Winter Wheat,wheat,arable,0.416,1
field_0413,AC01,Winter Wheat,wheat,arable,0.416,1
field_0414,AC01,Winter Wheat,wheat,arable,0.416,1
field_0415,AC17,Spring Barley,barley,arable,0.416,1
field_0416,AC17,Spring Barley,barley,arable,0.416,1
field_0417,AC01,Winter Wheat,wheat,arable,0.416,1
field_0418,AC19,Spring Oats,oat,arable,0.416,1
field_0419,AC17,Spring Barley,barley,arable,0.416,1
field_0420,AC01,Winter Wheat,wheat,arable,0.416,1
field_0421,AC01,Winter Wheat,wheat,arable,0.416,1
field_0422,AC01,Winter Wheat,wheat,arable,0.416,1
field_0423,AC17,Spring Barley,barley,arable,0.416,1
field_0424,AC01,Winter Wheat,wheat,arable,0.416,1
field_0425,AC17,Spring Barley,barley,arable,0.416,1
field_0426,AC01,Winter Wheat,wheat,arable,0.416,1
field_0427,AC17,Spring Barley,barley,arable,0.416,1
field_0428,AC01,Winter Wheat,wheat,arable,0.416,1
field_0429,AC17,Spring Barley,barley,arable,0.416,1
field_0430,AC19,Spring Oats,oat,arable,0.416,1
field_0431,AC01,Winter Wheat,wheat,arable,0.416,1
field_0432,AC17,Spring Barley,barley,arable,0.416,1
field_0433,AC17,Spring Barley,barley,arable,0.416,1
field_0434,AC17,Spring Barley,barley,arable,0.416,1
field_0435,AC17,Spring Barley,barley,arable,0.416,1
field_0436,AC17,Spring Barley,barley,arable,0.416,1
field_0437,AC17,Spring Barley,barley,arable,0.416,1
field_0438,AC17,Spring Barley,barley,arable,0.416,1
field_0439,AC01,Winter Wheat,wheat,arable,0.416,1
